hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference,link
Una joven gitana nos contó que tenía un contrato temporal prorrogable en la perfumería en la que trabajaba desde hacía varios meses y cuando preguntó al responsable sobre su prorroga éste le contestó que no le prorrogaría el contrato. La joven pensaba que esta decisión estaba motivada por su etnia.,"Se envió una carta a la empresa promotora solicitándoles más información sobre la situación laboral de la joven, y en caso de apreciar alguna incidencia en la denegación de la prórroga, tomasen acciones al respecto.","Pasado un tiempo, la empresa contestó reconociendo el derecho a una indemnización económica a la joven pero no reconoció que la denegación de la prórroga del contrato de la joven como dependienta de la perfumería fuera porque constataron que era gitana.",2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Alicante,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/alicante-empleo-discriminaci%C3%B3n-directa
"Una profesora del curso de ayudante de camarero llamó a la dueña de un bar para decirle que le iba a enviar a un joven gitano para que pudiera entrevistarle. La dueña se mostró reticente y le trasladó que no quería contratar a gitanos ya que había tenido anteriormente una mala experiencia en su bar. La profesora convenció a la dueña para que les hiciese la entrevista al joven, y al joven para que fuese a la entrevista. Al llegar el chico, la dueña le entrevistó, a pesar de sus reticencias, al ver que la entrevista fue buena le dijo al joven que se pasara al día siguiente para hacerle una prueba. El joven acudió a la prueba. La dueña sólo lo tuvo tres horas en el local, durante las cuales estuvo en todo momento vigilado, mientras que al resto de jóvenes no se les trataba de esta manera. Al final de la jornada le dijo que no volviera porque, según la dueña no tenía habilidades. El joven se fue apenado y sintió que la dueña no le dio oportunidad de demostrar sus habilidades en el bar como camarero, una profesión para la que estaba suficientemente cualificado.",El joven fue informado de sus derechos.,El joven prefirió no denunciar por miedo a que eso pudiese afectarle en otras entrevistas.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,León,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/le%C3%B3n-empleo-discriminaci%C3%B3n-directa
"La FSG en Pontevedra solicitó a tres hoteles distintos de la zona realizar prácticas no laborables. En todos los casos, en el momento en que se enteraron de que eran jóvenes gitanos/as, se renunció a cualquier posibilidad de colaboración.",Desde la FSG en Pontevedra se insistió en mantener una reunión para explicarle mejor el programa de Empleo de la FSG.,Negativo. Las empresas no aceptaron ningún tipo de acercamiento.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Pontevedra,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/pontevedra-empleo-discriminaci%C3%B3n-directa
"Una joven gitana trabajaba desde hacía semanas en un restaurante. Una mañana en mitad de un servicio se le cayó una bandeja y se hizo daño en un hombro, después de lo cual el Hospital le emitió un parte de lesiones. Inmediatamente después, la joven se dirigió al dueño para informarle de lo sucedido y le pidió los datos de la aseguradora para informar de su accidente laboral. El dueño se negó a ofrecerle información alguna ya que decía que estaba en periodo de prueba y no tenía derecho a ello. Seguidamente, le dijo que estaba despedida. Durante la conversación, el propietario del restaurante le dijo que ya sabía cómo eran todos, a lo que la chica le preguntó: “¿quiénes?”, y el respondió que ya sabía ella lo que quiso decir, que “todas las gitanas eran iguales”. La joven inmediatamente fue con la documentación que le dieron en el restaurante a pedir información y a que le asesoraran a un sindicato del sector servicios de restauración que conocía. En el sindicato le dijeron que todo estaba correcto.",Desde el Departamento de Igualdad se le facilitó información sobre la Inspección de trabajo y la posible denuncia de la empresa por el trato discriminatorio recibido.,"La joven, finalmente decidió no informar de lo ocurrido ni quiso llevar a cabo ninguna otra acción. Nos trasladó que no quería seguir trabajando en un lugar donde no la tratarían bien y donde ser gitana parecía ser un problema. La joven cobró el finiquito y no volvió al lugar.",2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Salamanca,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/salamanca-empleo-discriminaci%C3%B3n-directa
"Un joven gitano que trabajaba en un bazar contó que los jefes le habían advertido que cuando entraban personas gitanas, las persiguiera, que robaban mucho. Los jefes no sabían que el joven era de etnia gitana.",Se asesoró al joven y se le informó de sus derechos.,No quiso llevar a cabo ninguna actuación por miedo a perder su trabajo.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Almería,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/almer%C3%ADa-empleo-discriminaci%C3%B3n-directa
"Un participante de los programas de empleo de la FSG le contó al orientador laboral su situación de desigualdad en el empleo. Era el único que realizaba horas extras y no se las pagaban, tenía un sueldo menor que otros en la misma categoría o incluso menos sueldo que categorías inferiores. El chico le trasladó a su jefe esto y éste le dijo: “si no te gusta ahí tienes la puerta”. El chico era el único trabajador de etnia gitana en la empresa y sentía que el trato con él era desigual al de todos sus compañeros, que no eran de etnia gitana.","Desde la FSG se le informó y asesoró, y se le dio argumentos para hablar con su jefe y tratar de que la situación mejorara.","A pesar de que la situación no cambió del todo, mejoró algo porqué el joven conoció sus derechos y obtuvo los argumentos para defenderlos.",2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Málaga,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/m%C3%A1laga-empleo-discriminaci%C3%B3n-directa
"Una mujer contactó con la FSG para contar una situación que estaban viviendo en el trabajo como camareras de piso en un hotel, ella y otras compañeras, todas de etnia gitana. Les asignaron las peores y más difíciles tareas, obligándoles a salir siempre más tarde que a las demás. La mujer contó además que estaban sufriendo comentarios vejatorios con carácter racista por su jefe, algunos como: “Estos cables lo arregláis bien porque esto parece la casa de unos gitanos”; “siempre sois las mismas porculeras las gitanas” ;”sois unas... flojas”, “a ver si nos aseamos más que dejáis el olor incrustado”. Tras este incidente, una de las mujeres sufrió un ataque de ansiedad. Ellas están convencidas que esta situación de acoso discriminatorio tiene que ver con una Sentencia judicial favorable que reconocía sus derechos laborales y ahora estaban sufriendo las represalias.","La técnica de la FSG entrevistó a las cinco mujeres que estaban sufriendo la discriminación. Desde la FSG se comprobó la sentencia favorable, y la versión sólida de las cinco mujeres. Asimismo, se contactó con una de las encargadas de la empresa y con el director, tratando de sensibilizar a los responsables del hotel.",Las jóvenes contrataron un abogado para demandar de nuevo a la empresa. Desde la FSG se facilitó argumentación en materia de discriminación al abogado de las víctimas y se hizo seguimiento de la situación; el proceso sigue abierto.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Málaga,Empleo,Acoso discriminatorio,,https://informesdiscriminacion.gitanos.org/casos/m%C3%A1laga-empleo-acoso-discriminatorio
"Una mujer de etnia gitana empezó a trabajar en la charcutería de un supermercado y desde que empezó a trabajar, tres compañeras le estuvieron dificultando el trabajo, le dejaban tareas que no le correspondían, la trataban mal delante de los clientes y hacían comentarios antigitanos, como eran: “las gitanas son unas mangantas; luego dicen, el otro día fui al mercadillo y a una pobre mujer le robaron el bolso, fue una gitana seguro…”, “es que son muy chulas ellas, y ellos unos machistas”, “van sembrando el miedo”, etc. La joven trasladó esta situación a su encargada y a la directora de tienda, quienes no le dieron mucha importancia y le dijeron que tuviera paciencia. Tres meses después la joven tuvo una baja laboral por ansiedad y depresión.","Desde la FSG se contactó con la empresa para solicitar una reunión. Se mantuvo una reunión con la responsable de recursos humanos, la directora de tienda con la joven y la técnica de la FSG.","Positivo. En la reunión se acordó cambiar a la joven de centro de trabajo y tomar medidas con las trabajadoras causantes de la situación y de los comentarios antigitanos. Además, se acordó llevar a cabo una sesión de sensibilización en interculturalidad y lucha contra la discriminación para todo el personal del supermercado.",2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Barcelona,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/barcelona-empleo-acoso-discriminatorio
"Debido a un seguimiento del programa de empleo Acceder, en una importante tienda de ropa con lo que la FSG tiene convenio y usuarias contratadas, la prospectora de empleo se enteró de que la encargada de un turno de la tienda hizo el siguiente comentario; “En la tienda no quiero trabajando ni a gitanas ni a moras”.","Se planificó una reunión con la empresa, pero finalmente anularon varias veces las citas y no pudo llevarse a cabo.",Negativo.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Cádiz,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/jerez-de-la-frontera-empleo-discriminaci%C3%B3n-directa
"Un joven contactó con FSG Málaga para comentar una situación que le ocurría en la nueva empresa en la que ha comenzado a trabajar. Explicó que su jefe solía realizar comentarios desagradables contra las personas gitanas, como: “Enrique te toca la zona de la Paz, en la que viven los gitanos, esa que está toda destrozada y reventada; el día que te separes estaré feliz (su mujer es gitana)”. El joven comentó que este tipo de comentarios eran frecuentes y que se suelen sentir incómodos ya que en la empresa hay numerosos compañeros gitanos.","Hablamos por teléfono con el jefe de la víctima para realizar un seguimiento e intentar recabar información y sensibilizar al jefe sobre la comunidad gitana de forma indirecta. El jefe tenía algunos estereotipos. Le explicamos una visión heterogénea del colectivo, que le resultó de utilidad.",Positivo. La persona valoró la sensibilización y cambió de actitud.,2018-01-01T00:00:00+01:00,2018-01-01T00:00:00+01:00,Málaga,Empleo,Discriminación directa,,https://informesdiscriminacion.gitanos.org/casos/m%C3%A1laga-empleo-discriminaci%C3%B3n-directa-por-asociaci%C3%B3n
"Una usuaria del programa de empleo de la FSG firma un contrato por un año con una empresa de restauración. Durante el período de prueba, los encargados manifiestan en varias ocasiones que están contentos con su trabajo, por lo que va a superar el período de prueba sin problemas. Sin embargo, cuando una compañera de trabajo les informa de que es gitana, recibe una carta de baja de la empresa, alegando no haber superado el período de prueba. La usuaria presenta demanda de acto de conciliación por despido improcedente y discriminatorio ante la Unidad de Mediación, Arbitraje y Conciliación de la Junta de Castilla y León, que se celebra sin avenencia, dando lugar a un juicio pendiente de resolución.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Valladolid,Empleo,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/valladolid-diciembre-discriminaci%C3%B3n-en-el-empleo
"Una noticia en un periódico de ámbito local trata el caso de un tiroteo sucedido en un poblado chabolista, que acabó con cinco personas heridas por “viejas rencillas entre familias”. En la descripción de los hechos se menciona repetidamente la etnia de los implicados, así como las medidas especiales de vigilancia policial puestas en marcha para evitar nuevos altercados.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Sevilla,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/sevilla-diciembre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n-0
"Una familia gitana solicita por teléfono un taxi. Cuando el conductor comprueba que son gitanos, antes de permitirles subir al vehículo, les pregunta si tienen dinero suficiente para pagar el servicio y, a pesar de su respuesta afirmativa, les obliga a pagar por adelantado, porque está “cansado de subir a gitanos, siempre me la juegan y se van sin pagar”. Los afectados mantienen una discusión con el taxista, y solicitan la presencia de un agente de la policía local, pero a pesar de ello, se ven forzados a pagar por adelantado y, aunque solicitan el libro de reclamaciones, el conductor se niega a facilitárselo.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Murcia,Acceso a bienes y servicios,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/murcia-diciembre-discriminaci%C3%B3n-en-los-bienes-y-servicios
"Un periódico de ámbito local publica una noticia con el titular “Juzgada una pareja gitana por amenazar a sus vecinos hasta echarlos de sus casas”. La noticia, además de hacer referencia al origen étnico, hace especial hincapié en las supuestas “amenazas de muerte”, “insultos”, y “torturas psicológicas” que, al parecer, están recibiendo los vecinos del inmueble. La familia denunciada insiste en la falsedad de los hechos descritos.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,A Coruña,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/la-coru%C3%B1a-diciembre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n
"Como consecuencia de un tiroteo provocado por un asunto de drogas en un barrio de Valladolid, un periódico de ámbito local publica una noticia con el titular ”Una familia gitana problemática en la que no funcionó la ley ni las ayudas sociales”. En la noticia se hace referencia a la etnia gitana cuando se habla de los problemas de la marginalidad, la inadaptación y la caída en el mundo de las drogas.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Valladolid,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/valladolid-diciembre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n-1
"Con motivo del aniversario de la muerte de dos vecinos del barrio en un altercado con varias personas de etnia gitana, que se encuentran en prisión por esos hechos, se distribuyen diversos carteles en un barrio de Madrid convocando a todos los vecinos a una manifestación de marcado contenido anti-gitano. A pesar de que la FSG se dirige por escrito al Delegado del Gobierno de la Comunidad de Madrid y al Jefe de Seguridad de la Delegación informándoles de los hechos, la manifestación, que no está autorizada, se acaba desarrollando, y varios participantes acuden al domicilio de la familia de los implicados, increpando a parientes y vecinos.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Madrid,Otros,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/madrid-diciembre-actos-racistas
"En la sección “Firma Invitada” de un periódico local, aparece un artículo en el que se afirma que “una gran mayoría de los componentes de esta raza, viven erráticos y sin hogar fijo, repudiados por una sociedad que les repele y en la que no han conseguido integrarse”; “las causas de este desarraigo deben achacarse principalmente a los propios gitanos”; “son repudiados por la mayoría ante el temor que inspiran a su paso por su mentalidad viva y engañosa”. El periódico publica la carta de contestación elaborada por la FSG, tras la cual el autor pide disculpas.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Ciudad Real,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/ciudad-real-diciembre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n
"La FACCA, una federación de entidades gitanas, encuentra notables resistencias vecinales para construir un centro social polivalente en el Polígono Guadalquivir. A pesar de disponer de un permiso de obras concedido por el Ayuntamiento, y contar con el respaldo de las autoridades, algunos vecinos se agrupan para exigir su traslado a otro lugar, ante el temor de que el centro social conlleve a su vez una concentración masiva de población gitana. La FSG se adhiere al manifiesto encabezado por distintas organizaciones gitanas y de derechos humanos en Andalucía, para que se mantenga la ubicación del centro, que finalmente es trasladado a un polígono industrial, ante las fuertes presiones vecinales.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Córdoba,Vivienda,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/c%C3%B3rdoba-diciembre-discriminaci%C3%B3n-en-la-vivienda
"Un hombre gitano es expulsado a la fuerza de un bar en el que acaba de entrar junto con a sus compañeros de trabajo, con quienes celebra la cena de navidad de la empresa. Tras el incidente, todo el grupo decide abandonar el establecimiento, pero cuando se disponen a entrar en otro local de la zona, el portero también impide la entrada al trabajador gitano, alegando que “son reglas de la casa”. La víctima presenta una denuncia que es admitida a trámite y, aunque el caso todavía no ha quedado resuelto, ha tenido una enorme repercusión, llegando a ser analizado por el Parlamento Gallego, que estudia tomar medidas al respecto para evitar que se produzcan situaciones similares.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,A Coruña,Acceso a bienes y servicios,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/el-ferrol-la-coru%C3%B1a-diciembre-discriminaci%C3%B3n-en-los-bienes-y-servicios
"Un ciudadano arandino de etnia gitana sufre varias agresiones por quitar un cartel de contenido racista colgado en un bar, en el que se habla de unos incidentes producidos en la localidad en los meses anteriores. El cartel dice textualmente “Se necesita ayuda contra apaleamientos, intimidaciones, amenazas y abusos de algunos individuos de etnia gitana. Próximos juicios, TFNO: 687 522 047 ¿Si has sido apaleado? Llama”. Tras los hechos acaecidos la víctima presentó denuncia que sigue pendiente de resolución.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Burgos,Otros,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/aranda-de-duero-burgos-diciembre-actos-racistas
"Un periódico de ámbito local publica en la sección de sucesos una noticia relacionada con el rapto de una mujer y su hijo. En la descripción de los hechos se hace constante referencia al origen étnico de los presuntos raptores, que fueron detenidos por la policía.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Málaga,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/m%C3%A1laga-diciembre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n
"Con el titular “Detienen a dos monchinas menores de edad por robar en una tienda del centro”, un periódico de ámbito local publica una noticia en la que se hacen continuas referencias “al clan de los monchines”, por lo que, a pesar de que no mencione el origen étnico de los implicados, el tratamiento informativo podría constituir una práctica discriminatoria indirecta, ya que en Valladolid es ampliamente conocido que la familia es gitana.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Valladolid,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/valladolid-diciembre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n-0
"Un periódico de ámbito nacional publica una noticia relacionada con el funeral y entierro de dos hermanos gitanos fallecidos en Murcia, tras ser arrollados por un tren. En la descripción de los hechos se informa minuciosamente sobre aspectos irrelevantes para la noticia, haciendo hincapié en que tanto el padre como el tío “acudieron al funeral esposados porque procedían de la prisión de Zaragoza donde cumplían condena”. La foto publicada en este medio es especialmente denigrante.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Madrid,Medios de comunicación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/madrid-diciembre-discriminaci%C3%B3n-en-los-medios-de-comunicaci%C3%B3n
"En su Informe Especial sobre el Chabolismo, el Defensor del Pueblo Andaluz, en referencia al Plan Integral de Erradicación del Chabolismo en Andalucía aprobado en 1997, critica que en algunos casos se optara por la excesiva concentración de las familias en una determinada localización, dando lugar a la formación de guetos; o que se las pagase una suma de dinero, por más que existiera una promesa de dedicarlo a la adquisición de vivienda, a cambio de que se marcharan.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Sevilla,Vivienda,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/sevilla-diciembre-discriminaci%C3%B3n-en-la-vivienda
"Una menor utiliza expresiones como “esa es una gitana, es una sucia, es lo peor, etc…” para insultar y descalificar a una compañera de clase, en presencia de otra compañera. La FSG organiza una reunión con el tutor de las alumnas y el jefe de estudios, en la que se decide penalizar a la menor.",,,2005-01-01T00:00:00+01:00,2005-01-01T00:00:00+01:00,Asturias,Educación,Sin especificar,,https://informesdiscriminacion.gitanos.org/casos/avil%C3%A9s-asturias-diciembre-discriminaci%C3%B3n-en-la-educaci%C3%B3n
